name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Phocaeicola dorei	357276	S	1132511	-1132511	0	0.00000
Phocaeicola vulgatus	821	S	116418	-116418	0	0.00000
Phocaeicola salanitronis	376805	S	1807	-1807	0	0.00000
Alistipes onderdonkii	328813	S	843571	-843571	0	0.00000
Alistipes finegoldii	214856	S	87634	-87634	0	0.00000
Alistipes communis	2585118	S	51281	-51281	0	0.00000
Alistipes shahii	328814	S	28408	-28408	0	0.00000
Alistipes dispar	2585119	S	14796	-14796	0	0.00000
Alistipes megaguti	2364787	S	10645	-10645	0	0.00000
Alistipes indistinctus	626932	S	5070	-5070	0	0.00000
Alistipes sp. dk3624	2662363	S	4740	-4740	0	0.00000
Mucinivorans hirudinis	1433126	S	269	-269	0	0.00000
Bacteroides fragilis	817	S	378332	-378332	0	0.00000
Bacteroides xylanisolvens	371601	S	220621	-220621	0	0.00000
Bacteroides ovatus	28116	S	111613	-111613	0	0.00000
Bacteroides sp. HF-5141	2650158	S	42612	-42612	0	0.00000
Bacteroides sp. M10	2763022	S	12009	-12009	0	0.00000
Bacteroides sp. CBA7301	2715212	S	9896	-9896	0	0.00000
Bacteroides sp. HF-162	2785531	S	7404	-7404	0	0.00000
Bacteroides sp. HF-5287	2650157	S	5985	-5985	0	0.00000
Bacteroides sp. PHL 2737	2162637	S	4466	-4466	0	0.00000
Bacteroides sp. A1C1	2528203	S	714	-714	0	0.00000
Bacteroides sp. CACC 737	2755405	S	507	-507	0	0.00000
Bacteroides caecimuris	1796613	S	28403	-28403	0	0.00000
Bacteroides uniformis	820	S	15810	-15810	0	0.00000
Bacteroides thetaiotaomicron	818	S	11222	-11222	0	0.00000
Bacteroides caccae	47678	S	3360	-3360	0	0.00000
Bacteroides intestinalis	329854	S	1033	-1033	0	0.00000
Bacteroides cellulosilyticus	246787	S	921	-921	0	0.00000
Bacteroides zoogleoformans	28119	S	724	-724	0	0.00000
Bacteroides heparinolyticus	28113	S	686	-686	0	0.00000
Bacteroides helcogenes	290053	S	642	-642	0	0.00000
Bacteroides coprosuis	151276	S	159	-159	0	0.00000
Parabacteroides distasonis	823	S	225633	-225633	0	0.00000
Parabacteroides sp. CT06	2025876	S	650	-650	0	0.00000
Tannerella sp. oral taxon HOT-286	712710	S	795	-795	0	0.00000
Tannerella forsythia	28112	S	285	-285	0	0.00000
Odoribacter splanchnicus	28118	S	252750	-252750	0	0.00000
Butyricimonas faecalis	2093856	S	4104	-4104	0	0.00000
Muribaculum intestinale	1796646	S	34961	-34961	0	0.00000
Muribaculum sp. TLL-A4	2530390	S	2471	-2471	0	0.00000
Duncaniella dubosii	2518971	S	2847	-2847	0	0.00000
Duncaniella sp. C9	2530392	S	29	-29	0	0.00000
Barnesiella viscericola	397865	S	11549	-11549	0	0.00000
Prevotella intermedia	28131	S	1523	-1523	0	0.00000
Prevotella dentalis	52227	S	445	-445	0	0.00000
Prevotella melaninogenica	28132	S	307	-307	0	0.00000
Prevotella denticola	28129	S	299	-299	0	0.00000
Prevotella oris	28135	S	212	-212	0	0.00000
Prevotella enoeca	76123	S	209	-209	0	0.00000
Prevotella ruminicola	839	S	198	-198	0	0.00000
