Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
G69185_pe_1	G69185_pe_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19287526.0	0.0	62-101	45.0	61.137288060077665	100.6055780300698	pass	pass	warn	pass	warn	pass	pass	warn	warn	pass	fail
G69185_pe_2	G69185_pe_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19287526.0	0.0	75-101	45.0	61.91409879885559	99.94232489952314	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	fail
G69230_pe_1	G69230_pe_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8659373.0	0.0	60-101	46.0	65.2462347367208	100.23194808677256	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	fail
G69230_pe_2	G69230_pe_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8659373.0	0.0	60-101	45.0	65.76897427932073	99.6964522720063	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	fail
G78519_pe_1	G78519_pe_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6992262.0	0.0	70-101	46.0	90.21554771590914	96.54096442610417	pass	fail	fail	pass	fail	pass	pass	warn	pass	pass	fail
G78519_pe_2	G78519_pe_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6992262.0	0.0	82-101	46.0	91.27995099348219	97.90474498810256	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	fail
G78580_pe_1	G78580_pe_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13088547.0	0.0	86-101	51.0	64.07225416693875	98.6175564025556	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	fail
G78580_pe_2	G78580_pe_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13088547.0	0.0	60-101	51.0	62.07672218041511	97.92993576750727	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	fail
G78624_pe_1	G78624_pe_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5329718.0	0.0	68-101	46.0	84.93790724888834	95.51982224950738	pass	fail	pass	pass	fail	pass	pass	warn	pass	pass	pass
G78624_pe_2	G78624_pe_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5329718.0	0.0	60-101	46.0	89.18316439745607	97.92125530844221	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	warn
G78651_pe_1	G78651_pe_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2880268.0	0.0	80-101	45.0	81.43064548984414	95.77849491783404	pass	fail	pass	pass	fail	pass	pass	warn	pass	pass	fail
G78651_pe_2	G78651_pe_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2880268.0	0.0	60-101	45.0	86.69902314373444	98.01669046074879	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	fail
G78713_pe_1	G78713_pe_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7925786.0	0.0	68-101	44.0	78.87813518675937	96.85640704909267	pass	fail	fail	pass	fail	pass	pass	warn	pass	pass	warn
