Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
G69185_pe_1	38.862711939922335	45.0	100.6055780300698	9.090909090909092	19287526.0
G69185_pe_2	38.08590120114441	45.0	99.94232489952314	9.090909090909092	19287526.0
G69230_pe_1	34.753765263279206	46.0	100.23194808677256	9.090909090909092	8659373.0
G69230_pe_2	34.23102572067927	45.0	99.6964522720063	18.181818181818183	8659373.0
G78519_pe_1	9.784452284090861	46.0	96.54096442610417	36.36363636363637	6992262.0
G78519_pe_2	8.720049006517812	46.0	97.90474498810256	18.181818181818183	6992262.0
G78580_pe_1	35.92774583306125	51.0	98.6175564025556	18.181818181818183	13088547.0
G78580_pe_2	37.92327781958489	51.0	97.92993576750727	18.181818181818183	13088547.0
G78624_pe_1	15.062092751111663	46.0	95.51982224950738	18.181818181818183	5329718.0
G78624_pe_2	10.816835602543932	46.0	97.92125530844221	9.090909090909092	5329718.0
G78651_pe_1	18.56935451015586	45.0	95.77849491783404	27.27272727272727	2880268.0
G78651_pe_2	13.300976856265564	45.0	98.01669046074879	18.181818181818183	2880268.0
G78713_pe_1	21.121864813240634	44.0	96.85640704909267	27.27272727272727	7925786.0
G78713_pe_2	19.48787866165908	45.0	97.93481681185942	9.090909090909092	7925786.0
G78856_pe_1	19.64173253426283	46.0	96.37444739178653	18.181818181818183	9043930.0
G78856_pe_2	14.342874000838435	47.0	97.67114993150102	9.090909090909092	9043930.0
G78867_pe_1	27.078670360859235	51.0	98.73355929552999	9.090909090909092	6420543.0
G78867_pe_2	29.830609423806337	51.0	97.34063411770624	18.181818181818183	6420543.0
G80273_pe_1	21.828378201100193	45.0	98.21842937564496	18.181818181818183	15507731.0
G80273_pe_2	17.13103201244985	45.0	95.35176944970222	27.27272727272727	15507731.0
G80326_pe_1	27.338861051124326	45.0	99.61506194429771	9.090909090909092	8995824.0
G80326_pe_2	21.473471852987842	44.0	90.38980675922517	18.181818181818183	8995824.0
G80370_pe_1	20.23141990219945	47.0	100.11205474346922	9.090909090909092	9971162.0
G80370_pe_2	16.894196535949973	47.0	95.4701313648299	9.090909090909092	9971162.0
G80394_pe_1	28.29318948889791	51.0	98.76271695092109	18.181818181818183	8523702.0
G80394_pe_2	25.291735990186382	50.0	95.37330270344974	27.27272727272727	8523702.0
G80417_pe_1	19.136206458592866	53.0	99.78702849347053	9.090909090909092	3587278.0
G80417_pe_2	15.457276866273858	53.0	94.75981231451814	18.181818181818183	3587278.0
G80419_pe_1	32.633219063797654	45.0	100.25620923901955	9.090909090909092	16787041.0
G80419_pe_2	28.209798579656464	44.0	96.0153647090038	9.090909090909092	16787041.0
G80432_pe_1	16.56455991182375	48.0	99.99345931806187	9.090909090909092	13900997.0
G80432_pe_2	13.365577822106573	47.0	95.81583371322215	9.090909090909092	13900997.0
G80433_pe_1	24.110796435233155	49.0	100.06072508970736	9.090909090909092	15341550.0
G80433_pe_2	20.131012727121444	49.0	95.76459158298869	9.090909090909092	15341550.0
G80583_pe_1	23.44935158481647	52.0	95.87044152440069	18.181818181818183	4004354.0
G80583_pe_2	8.988992130065583	52.0	96.09070052248128	18.181818181818183	4004354.0
